               1.497               22.663
               1.540               17.082
               1.583               12.640
               1.626                9.496
               1.669                7.276
               1.712                5.406
               1.755                4.016
               1.798                2.905
               1.841                1.971
               1.884                1.220
               1.927                0.766
               1.970                0.540
               2.013                0.435
               2.056                0.270
               2.099                0.167
               2.142                0.086
               2.185                0.000
               2.228                0.115
               2.271                0.147
               2.314                0.391
               2.357                0.604
               2.400                0.930
               2.443                1.239
               2.485                1.699
               2.528                2.157
               2.571                2.640
               2.614                3.014
               2.657                3.502
               2.700                4.287
               2.743                5.131
               2.786                5.766
               2.829                6.157
               2.872                6.095
               2.915                6.197
               2.958                6.454
               3.001                6.511
               3.044                6.668
               3.087                6.965
               3.130                7.267
               3.173                7.517
               3.216                7.481
               3.259                7.686
               3.302                7.839
               3.345                8.044
               3.388                8.156
               3.431                8.311
               3.474                8.434
               3.517                8.467
               3.560                8.467
               3.603                8.491
               3.646                8.490
               3.689                8.520
               3.732                8.537
               3.775                8.247
               3.818                7.972
               3.861                8.023
               3.904                7.966
               3.947                7.562
               3.990                7.141
               4.033                6.833
               4.076                6.306
               4.119                6.204
               4.162                5.804
               4.205                5.338
               4.248                4.700
               4.291                4.228
               4.334                3.926
               4.377                3.582
               4.420                3.279
               4.463                2.969
               4.506                2.739
               4.548                2.569
               4.591                2.362
               4.634                2.082
               4.677                2.008
               4.720                1.890
               4.763                1.803
               4.806                1.593
               4.849                1.507
               4.892                1.528
               4.935                1.612
               4.978                1.718
               5.021                1.769
               5.064                1.960
               5.107                2.298
               5.150                2.664
               5.193                3.069
               5.236                3.656
               5.279                4.148
               5.322                4.877
               5.365                5.791
               5.408                6.839
               5.451                8.039
               5.494                9.182
               5.537               10.441
               5.580               11.691
               5.623               13.949
               5.666               16.544
               5.709               19.092
               5.752               21.244
